0.75863,-0.73942,1.1289,-0.68244,0.53057,0.32278,-0.68782,0.00088199
0.74912,-0.72803,1.1188,-0.68416,0.5234,0.32668,-0.67994,0.0071392
0.73929,-0.71608,1.1086,-0.68562,0.51626,0.33031,-0.67198,0.013526
0.72912,-0.70357,1.0982,-0.68682,0.50912,0.33365,-0.66393,0.020034
0.71858,-0.6905,1.0877,-0.68774,0.502,0.33671,-0.65579,0.026653
0.70766,-0.67687,1.0769,-0.68836,0.49487,0.33949,-0.64756,0.033374
0.69634,-0.66268,1.066,-0.68869,0.48773,0.34196,-0.63922,0.040188
0.68461,-0.64793,1.055,-0.68872,0.48057,0.34414,-0.63079,0.047083
0.67243,-0.63262,1.0437,-0.68842,0.47339,0.34601,-0.62225,0.05405
0.6598,-0.61674,1.0322,-0.6878,0.46618,0.34758,-0.6136,0.061077
0.6467,-0.60031,1.0205,-0.68685,0.45893,0.34883,-0.60484,0.068153
0.63311,-0.58332,1.0085,-0.68554,0.45163,0.34977,-0.59596,0.075267
0.61902,-0.56578,0.99628,-0.68388,0.44427,0.35039,-0.58695,0.082407
0.6044,-0.54768,0.98382,-0.68186,0.43685,0.35069,-0.57781,0.089561
0.58924,-0.52904,0.97109,-0.67945,0.42936,0.35066,-0.56854,0.096718
0.57353,-0.50986,0.95807,-0.67667,0.42178,0.3503,-0.55914,0.10387
0.55726,-0.49014,0.94477,-0.67349,0.41412,0.34962,-0.54959,0.11099
0.5404,-0.46989,0.93116,-0.66991,0.40635,0.3486,-0.53989,0.11808
0.52294,-0.44911,0.91724,-0.66593,0.39849,0.34725,-0.53004,0.12512
0.50488,-0.42781,0.90299,-0.66152,0.3905,0.34557,-0.52003,0.13211
0.48619,-0.406,0.8884,-0.65668,0.38239,0.34355,-0.50986,0.13902
0.46688,-0.38369,0.87347,-0.65141,0.37415,0.34119,-0.49952,0.14585
0.44692,-0.36089,0.85817,-0.6457,0.36577,0.3385,-0.48901,0.15258
0.42632,-0.3376,0.8425,-0.63954,0.35724,0.33547,-0.47832,0.1592
0.40505,-0.31384,0.82645,-0.63293,0.34855,0.33211,-0.46745,0.1657
0.38311,-0.28961,0.81001,-0.62585,0.3397,0.32841,-0.45639,0.17206
0.3605,-0.26493,0.79317,-0.6183,0.33067,0.32438,-0.44514,0.17828
0.33721,-0.23982,0.77591,-0.61028,0.32145,0.32002,-0.43369,0.18434
0.31324,-0.21427,0.75822,-0.60179,0.31205,0.31533,-0.42204,0.19023
0.28858,-0.18832,0.74011,-0.5928,0.30245,0.31031,-0.41018,0.19593
0.26322,-0.16196,0.72155,-0.58333,0.29264,0.30497,-0.39811,0.20145
0.23717,-0.13522,0.70253,-0.57337,0.28262,0.29931,-0.38582,0.20675
0.21043,-0.10812,0.68306,-0.56291,0.27238,0.29333,-0.37331,0.21184
0.18299,-0.080655,0.66311,-0.55195,0.26191,0.28704,-0.36058,0.21671
0.15486,-0.052858,0.64269,-0.54049,0.2512,0.28044,-0.34761,0.22133
0.12604,-0.024742,0.62178,-0.52853,0.24025,0.27353,-0.33442,0.22571
0.096537,0.0036752,0.60038,-0.51606,0.22905,0.26633,-0.32098,0.22983
0.066353,0.032375,0.57847,-0.50309,0.21759,0.25883,-0.30731,0.23368
0.035496,0.061338,0.55607,-0.48961,0.20588,0.25105,-0.29339,0.23726
0.0039726,0.090546,0.53315,-0.47563,0.1939,0.24299,-0.27922,0.24055
-0.028207,0.11998,0.50971,-0.46115,0.18164,0.23465,-0.26481,0.24354
-0.061034,0.14961,0.48575,-0.44616,0.16911,0.22604,-0.25014,0.24624
-0.094495,0.17943,0.46127,-0.43067,0.1563,0.21718,-0.23522,0.24863
-0.12858,0.20941,0.43625,-0.41468,0.14321,0.20806,-0.22004,0.2507
-0.16327,0.23953,0.41071,-0.3982,0.12982,0.1987,-0.2046,0.25244
-0.19855,0.26977,0.38463,-0.38122,0.11615,0.1891,-0.1889,0.25386
-0.23442,0.30009,0.35802,-0.36376,0.10217,0.17928,-0.17294,0.25495
-0.27083,0.33049,0.33087,-0.34582,0.087904,0.16924,-0.15672,0.25569
-0.30779,0.36094,0.30319,-0.3274,0.073336,0.15898,-0.14024,0.25609
-0.34527,0.39141,0.27497,-0.30851,0.058467,0.14853,-0.1235,0.25614
-0.38324,0.42187,0.24622,-0.28916,0.043297,0.13789,-0.1065,0.25584
-0.42168,0.45231,0.21695,-0.26935,0.027825,0.12707,-0.089239,0.25518
-0.46057,0.4827,0.18714,-0.24909,0.012052,0.11608,-0.07172,0.25417
-0.49989,0.51301,0.15682,-0.2284,-0.0040223,0.10494,-0.053945,0.25279
-0.5396,0.54322,0.12597,-0.20728,-0.020395,0.093641,-0.035916,0.25105
-0.57968,0.5733,0.094623,-0.18573,-0.037066,0.082208,-0.017637,0.24896
-0.6201,0.60322,0.062767,-0.16378,-0.054031,0.07065,0.00088986,0.2465
-0.66083,0.63296,0.030416,-0.14143,-0.071288,0.058976,0.01966,0.24367
-0.70184,0.6625,-0.0024222,-0.1187,-0.088833,0.0472,0.038668,0.24049
-0.74309,0.69179,-0.035737,-0.095588,-0.10666,0.035333,0.057911,0.23694
-0.78455,0.72083,-0.069519,-0.07212,-0.12477,0.023385,0.077382,0.23304
-0.82618,0.74958,-0.10375,-0.048304,-0.14315,0.01137,0.097076,0.22878
